"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"These are the students.","Tid gant tinlmadin.","Tachelhit","Tⵉⴷ ⴴⴰⵏⵝ ⵝⵉⵏⵍⵎⴰⴷⵉⵏ.","Tid gant tinlmadin.","Tid gant tinlmadin."
"That's your friend.","Wann iga amddakkwl nnk.","Tachelhit","Wⴰⵏⵏ ⵉⴴⴰ ⴰⵎⴷⴷⴰⴿⴿⵡⵍ ⵏⵏⴿ.","Wann iga amddakkwl nnk.","Wann iga amddakkwl nnk."
"Those are his friends.","Winn gan imddukkal nns.","Tachelhit","Wⵉⵏⵏ ⴴⴰⵏ ⵉⵎⴷⴷⵓⴿⴿⴰⵍ ⵏⵏⵙ.","Winn gan imddukkal nns.","Winn gan imddukkal nns."
"That is my teacher.","Tann taslmadt inu.","Tachelhit","Tⴰⵏⵏ ⵝⴰⵙⵍⵎⴰⴷⵝ ⵉⵏⵓ.","Tann taslmadt inu.","Tann taslmadt inu."
"This book.","Adlis ad.","Tachelhit","Aⴷⵍⵉⵙ ⴰⴷ.","Adlis ad.","Adlis ad."
"These books.","Idlisn ad.","Tachelhit","Iⴷⵍⵉⵙⵏ ⴰⴷ.","Idlisn ad.","Idlisn ad."
"Today.","Assad.","Tachelhit","Aⵙⵙⴰⴷ.","Assad.","Assad."
"This girl.","Tafruxt ad.","Tachelhit","Tⴰⴼⵔⵓxⵝ ⴰⴷ.","Tafruxt ad.","Tafruxt ad."
"That book.","Adlis nna.","Tachelhit","Aⴷⵍⵉⵙ ⵏⵏⴰ.","Adlis nna.","Adlis nna."
"That boy","Afrux nna.","Tachelhit","Aⴼⵔⵓx ⵏⵏⴰ.","Afrux nna.","Afrux nna."
"That dog.","Aydi nna.","Tachelhit","Aⵢⴷⵉ ⵏⵏⴰ.","Aydi nna.","Aydi nna."
"That house.","Tigmmi nna.","Tachelhit","Tⵉⴴⵎⵎⵉ ⵏⵏⴰ.","Tigmmi nna.","Tigmmi nna."
"That book.","Adlis ann.","Tachelhit","Aⴷⵍⵉⵙ ⴰⵏⵏ.","Adlis ann.","Adlis ann."
"That bitch.","Taydit ann.","Tachelhit","Tⴰⵢⴷⵉⵝ ⴰⵏⵏ.","Taydit ann.","Taydit ann."
"That mountain.","Adrar ann.","Tachelhit","Aⴷⵔⴰⵔ ⴰⵏⵏ.","Adrar ann.","Adrar ann."
"That orchard.","Urti ann.","Tachelhit","Uⵔⵝⵉ ⴰⵏⵏ.","Urti ann.","Urti ann."
"What is your job?","Ma igan tawuri nnek?","Tachelhit","Mⴰ ⵉⴴⴰⵏ ⵝⴰⵡⵓⵔⵉ ⵏⵏⴻⴿ?","Ma igan tawuri nnek?","Ma igan tawuri nnek?"
"I, I am an official.""I, I am an official.","Nkki, giɣ amazzal.","Tachelhit","Nⴿⴿⵉ, ⴴⵉⵖ ⴰⵎⴰⵣⵣⴰⵍ.","Nkki, giɣ amazzal.","Nkki, giغ amazzal."
"I am a teacher.","Nkki, giɣ aselmad.","Tachelhit","Nⴿⴿⵉ, ⴴⵉⵖ ⴰⵙⴻⵍⵎⴰⴷ.","Nkki, giɣ aselmad.","Nkki, giغ aselmad."
"What is your job?","Ma igan tawuri nnem?","Tachelhit","Mⴰ ⵉⴴⴰⵏ ⵝⴰⵡⵓⵔⵉ ⵏⵏⴻⵎ?","Ma igan tawuri nnem?","Ma igan tawuri nnem?"
"I am a lawyer.","Nkki, giɣ tamastant.","Tachelhit","Nⴿⴿⵉ, ⴴⵉⵖ ⵝⴰⵎⴰⵙⵝⴰⵏⵝ.","Nkki, giɣ tamastant.","Nkki, giغ tamastant."
"What is your job?","Ma igan tawuri nnes?","Tachelhit","Mⴰ ⵉⴴⴰⵏ ⵝⴰⵡⵓⵔⵉ ⵏⵏⴻⵙ?","Ma igan tawuri nnes?","Ma igan tawuri nnes?"
"He is a policeman.","Ntta, iga abulis.","Tachelhit","Nⵝⵝⴰ, ⵉⴴⴰ ⴰⴲⵓⵍⵉⵙ.","Ntta, iga abulis.","Ntta, iga abulis."
"Who is your family?","Ma igan tawja nnek? "," Tachelhit","Mⴰ ⵉⴴⴰⵏ ⵝⴰⵡⵊⴰ ⵏⵏⴻⴿ? ","Ma igan tawja nnek? ","Ma igan tawja nnek? "
"My wife and my children","Tamɣart inu d tarwa inu.","Tachelhit","Tⴰⵎⵖⴰⵔⵝ ⵉⵏⵓ ⴷ ⵝⴰⵔⵡⴰ ⵉⵏⵓ.","Tamɣart inu d tarwa inu.","Tamغart inu d tarwa inu."
"My husband and my children.","Argaz inu d tarwa inu.","Tachelhit","Aⵔⴴⴰⵣ ⵉⵏⵓ ⴷ ⵝⴰⵔⵡⴰ ⵉⵏⵓ.","Argaz inu d tarwa inu.","Argaz inu d tarwa inu."
"My mother, my father and my brothers.","Imma d baba d aytma.","Tachelhit","Iⵎⵎⴰ ⴷ ⴲⴰⴲⴰ ⴷ ⴰⵢⵝⵎⴰ.","Imma d baba d aytma.","Imma d baba d aytma."
"My father.","Baba.","Tachelhit","Bⴰⴲⴰ.","Baba.","Baba."
"Your father.","Babak.","Tachelhit","Bⴰⴲⴰⴿ.","Babak.","Babak."
"His father or Her father.","Babas.","Tachelhit","Bⴰⴲⴰⵙ.","Babas.","Babas."
"Our father.","Babatnɣ.","Tachelhit","Bⴰⴲⴰⵝⵏⵖ.","Babatnɣ.","Babatnغ."
"Your father.","Babatun.","Tachelhit","Bⴰⴲⴰⵝⵓⵏ.","Babatun.","Babatun."
"Their father.","Babatsn.","Tachelhit","Bⴰⴲⴰⵝⵙⵏ.","Babatsn.","Babatsn."
"His son is a farmer.","Iwis iga amkraz.","Tachelhit","Iⵡⵉⵙ ⵉⴴⴰ ⴰⵎⴿⵔⴰⵣ.","Iwis iga amkraz.","Iwis iga amkraz."
"Your father is a pastor and your mother is a teacher.","Babak iga ameksa d immak tga taselmadt.","Tachelhit","Bⴰⴲⴰⴿ ⵉⴴⴰ ⴰⵎⴻⴿⵙⴰ ⴷ ⵉⵎⵎⴰⴿ ⵝⴴⴰ ⵝⴰⵙⴻⵍⵎⴰⴷⵝ.","Babak iga ameksa d immak tga taselmadt.","Babak iga ameksa d immak tga taselmadt."
"Your father is very tall.","Babam iɣzzif bahra.","Tachelhit","Bⴰⴲⴰⵎ ⵉⵖⵣⵣⵉⴼ ⴲⴰⵁⵔⴰ.","Babam iɣzzif bahra.","Babam iغzzif bahra."
"The mother is beautiful but her daughter is ugly.","Immas tfulki macc illis txwc.","Tachelhit","Iⵎⵎⴰⵙ ⵝⴼⵓⵍⴿⵉ ⵎⴰcc ⵉⵍⵍⵉⵙ ⵝxⵡc.","Immas tfulki macc illis txwc.","Immas tfulki macc illis txwc."
"My brother is a teacher and your brother is a student.","Gma iga aselmad d gmak anelmad.","Tachelhit","Gⵎⴰ ⵉⴴⴰ ⴰⵙⴻⵍⵎⴰⴷ ⴷ ⴴⵎⴰⴿ ⴰⵏⴻⵍⵎⴰⴷ.","Gma iga aselmad d gmak anelmad.","Gma iga aselmad d gmak anelmad."
"The brothers are good but the sisters are not.","Aytmas fulkinin macc isttmas ur gint.","Tachelhit","Aⵢⵝⵎⴰⵙ ⴼⵓⵍⴿⵉⵏⵉⵏ ⵎⴰcc ⵉⵙⵝⵝⵎⴰⵙ ⵓⵔ ⴴⵉⵏⵝ.","Aytmas fulkinin macc isttmas ur gint.","Aytmas fulkinin macc isttmas ur gint."
"His daughter is short and his son is tall.","Illis tgzul d iwis iɣzzif.","Tachelhit","Iⵍⵍⵉⵙ ⵝⴴⵣⵓⵍ ⴷ ⵉⵡⵉⵙ ⵉⵖⵣⵣⵉⴼ.","Illis tgzul d iwis iɣzzif.","Illis tgzul d iwis iغzzif."
"Our daughter is strong and your daughter is thin.","Illitnɣ tdus d illitun tsdid.","Tachelhit","Iⵍⵍⵉⵝⵏⵖ ⵝⴷⵓⵙ ⴷ ⵉⵍⵍⵉⵝⵓⵏ ⵝⵙⴷⵉⴷ.","Illitnɣ tdus d illitun tsdid.","Illitnغ tdus d illitun tsdid."
"My friend.","Amddakkwl inu.","Tachelhit","Aⵎⴷⴷⴰⴿⴿⵡⵍ ⵉⵏⵓ.","Amddakkwl inu.","Amddakkwl inu."
"Your life.","Tudert nnek.","Tachelhit","Tⵓⴷⴻⵔⵝ ⵏⵏⴻⴿ.","Tudert nnek.","Tudert nnek."
"Your job.","Tawwuri nnem.","Tachelhit","Tⴰⵡⵡⵓⵔⵉ ⵏⵏⴻⵎ.","Tawwuri nnem.","Tawwuri nnem."
"Our house.","Taddart nneɣ.","Tachelhit","Tⴰⴷⴷⴰⵔⵝ ⵏⵏⴻⵖ.","Taddart nneɣ.","Taddart nneغ."
"Our house.","Taddart nneɣ.","Tachelhit","Tⴰⴷⴷⴰⵔⵝ ⵏⵏⴻⵖ.","Taddart nneɣ.","Taddart nneغ."
"Your family.","Tawja nnun.","Tachelhit","Tⴰⵡⵊⴰ ⵏⵏⵓⵏ.","Tawja nnun.","Tawja nnun."
"Your country.","Tamurt nnsn.","Tachelhit","Tⴰⵎⵓⵔⵝ ⵏⵏⵙⵏ.","Tamurt nnsn.","Tamurt nnsn."
"Your country.","Tamurt nnsn.","Tachelhit","Tⴰⵎⵓⵔⵝ ⵏⵏⵙⵏ.","Tamurt nnsn.","Tamurt nnsn."
"Your opinion.","Tannayt nnsnt.","Tachelhit","Tⴰⵏⵏⴰⵢⵝ ⵏⵏⵙⵏⵝ.","Tannayt nnsnt.","Tannayt nnsnt."
"Hello, what is your name?","Azul, mad am ism?","Tachelhit","Aⵣⵓⵍ, ⵎⴰⴷ ⴰⵎ ⵉⵙⵎ?","Azul, mad am ism?","Azul, mad am ism?"
"what is your name?","Ma ism nnem?"," Tachelhit","Mⴰ ⵉⵙⵎ ⵏⵏⴻⵎ?","Ma ism nnem?","Ma ism nnem?"
"My name is Fatima."," Nkki, ism inu Faṭima.","Tachelhit"," Nⴿⴿⵉ, ⵉⵙⵎ ⵉⵏⵓ Fⴰⵟⵉⵎⴰ."," Nkki, ism inu Faṭima."," Nkki, ism inu Faṭima."
"And what is your name?","Imma kyyi, mad ak ism?","Tachelhit","Iⵎⵎⴰ ⴿⵢⵢⵉ, ⵎⴰⴷ ⴰⴿ ⵉⵙⵎ?","Imma kyyi, mad ak ism?","Imma kyyi, mad ak ism?"
"what is your name?","Ma ism nnek?","Tachelhit","Mⴰ ⵉⵙⵎ ⵏⵏⴻⴿ?","Ma ism nnek?","Ma ism nnek?"
"My name is Idir.","Nkki, ism inu Idir.","Tachelhit","Nⴿⴿⵉ, ⵉⵙⵎ ⵉⵏⵓ Iⴷⵉⵔ.","Nkki, ism inu Idir.","Nkki, ism inu Idir."
"And what is his name?","Imma ntta, mad as ism?","Tachelhit","Iⵎⵎⴰ ⵏⵝⵝⴰ, ⵎⴰⴷ ⴰⵙ ⵉⵙⵎ?","Imma ntta, mad as ism?","Imma ntta, mad as ism?"
"what is his name?","Ma ism nnes?","Tachelhit","Mⴰ ⵉⵙⵎ ⵏⵏⴻⵙ?","Ma ism nnes?","Ma ism nnes?"
"His name is Airam.","Ntta, ism nnes Airam.","Tachelhit","Nⵝⵝⴰ, ⵉⵙⵎ ⵏⵏⴻⵙ Aⵉⵔⴰⵎ.","Ntta, ism nnes Airam.","Ntta, ism nnes Airam."
"What is the teacher's number?","Mad igan ism n uselmad?","Tachelhit","Mⴰⴷ ⵉⴴⴰⵏ ⵉⵙⵎ ⵏ ⵓⵙⴻⵍⵎⴰⴷ?","Mad igan ism n uselmad?","Mad igan ism n uselmad?"
"The teacher's name is Brahim.","Aselmad ism nnes Brahim.","Tachelhit","Aⵙⴻⵍⵎⴰⴷ ⵉⵙⵎ ⵏⵏⴻⵙ Bⵔⴰⵁⵉⵎ.","Aselmad ism nnes Brahim.","Aselmad ism nnes Brahim."
"The mountain is called Tindaya.","Adrar, ism nnes Tindaya.","Tachelhit","Aⴷⵔⴰⵔ, ⵉⵙⵎ ⵏⵏⴻⵙ Tⵉⵏⴷⴰⵢⴰ.","Adrar, ism nnes Tindaya.","Adrar, ism nnes Tindaya."
"It's called a pen.","Ism nnes aɣanib.","Tachelhit","Iⵙⵎ ⵏⵏⴻⵙ ⴰⵖⴰⵏⵉⴲ.","Ism nnes aɣanib.","Ism nnes aغanib."
"This is our language.","Tad tga tutlayt nneɣ.","Tachelhit","Tⴰⴷ ⵝⴴⴰ ⵝⵓⵝⵍⴰⵢⵝ ⵏⵏⴻⵖ.","Tad tga tutlayt nneɣ.","Tad tga tutlayt nneغ."
"That is their land.","Wann iga akal nnsn.","Tachelhit","Wⴰⵏⵏ ⵉⴴⴰ ⴰⴿⴰⵍ ⵏⵏⵙⵏ.","Wann iga akal nnsn.","Wann iga akal nnsn."
"That is his house.","Tann tga tgmmi nnsnt.","Tachelhit","Tⴰⵏⵏ ⵝⴴⴰ ⵝⴴⵎⵎⵉ ⵏⵏⵙⵏⵝ.","Tann tga tgmmi nnsnt.","Tann tga tgmmi nnsnt."
"You are my friend.","Tgit amddakkwl inu.","Tachelhit","Tⴴⵉⵝ ⴰⵎⴷⴷⴰⴿⴿⵡⵍ ⵉⵏⵓ.","Tgit amddakkwl inu.","Tgit amddakkwl inu."
"Where do you live?","Mani ɣ tzdeɣt?","Tachelhit","Mⴰⵏⵉ ⵖ ⵝⵣⴷⴻⵖⵝ?","Mani ɣ tzdeɣt?","Mani غ tzdeغt?"
"I live in Tiznit.","Zdeɣɣ ɣ Tiznit.","Tachelhit","Zⴷⴻⵖⵖ ⵖ Tⵉⵣⵏⵉⵝ.","Zdeɣɣ ɣ Tiznit.","Zdeغغ غ Tiznit."
"Where does Idir live?","Mani ɣ izdeɣ Idir?","Tachelhit","Mⴰⵏⵉ ⵖ ⵉⵣⴷⴻⵖ Iⴷⵉⵔ?","Mani ɣ izdeɣ Idir?","Mani غ izdeغ Idir?"
"He lives in Arrecife.","Izdeɣ ɣ Arrecife.","Tachelhit","Iⵣⴷⴻⵖ ⵖ Aⵔⵔⴻcⵉⴼⴻ.","Izdeɣ ɣ Arrecife.","Izdeغ غ Arrecife."
"Where is your house?","Mani ɣ tlla tgemmi nnek?","Tachelhit","Mⴰⵏⵉ ⵖ ⵝⵍⵍⴰ ⵝⴴⴻⵎⵎⵉ ⵏⵏⴻⴿ?","Mani ɣ tlla tgemmi nnek?","Mani غ tlla tgemmi nnek?"
"My house is in Las Palmas.","Tigemmi inu tlla g Las Palmas.","Tachelhit","Tⵉⴴⴻⵎⵎⵉ ⵉⵏⵓ ⵝⵍⵍⴰ ⴴ Lⴰⵙ Pⴰⵍⵎⴰⵙ.","Tigemmi inu tlla g Las Palmas.","Tigemmi inu tlla g Las Palmas."
"What is your address?","Mad igan tansa nnek?","Tachelhit","Mⴰⴷ ⵉⴴⴰⵏ ⵝⴰⵏⵙⴰ ⵏⵏⴻⴿ?","Mad igan tansa nnek?","Mad igan tansa nnek?"
"What street do you live on?","Man tasukt aɣ tzdeɣt?","Tachelhit","Mⴰⵏ ⵝⴰⵙⵓⴿⵝ ⴰⵖ ⵝⵣⴷⴻⵖⵝ?","Man tasukt aɣ tzdeɣt?","Man tasukt aغ tzdeغt?"
"I live on the street in the center.","Zdeɣɣ ɣ tsukt n wammas.","Tachelhit","Zⴷⴻⵖⵖ ⵖ ⵝⵙⵓⴿⵝ ⵏ ⵡⴰⵎⵎⴰⵙ.","Zdeɣɣ ɣ tsukt n wammas.","Zdeغغ غ tsukt n wammas."
"I read a book.","Nkki ɣriɣ yan udlis.","Tachelhit","Nⴿⴿⵉ ⵖⵔⵉⵖ ⵢⴰⵏ ⵓⴷⵍⵉⵙ.","Nkki ɣriɣ yan udlis.","Nkki غriغ yan udlis."
"We read the book.","Nkkni nɣra adlis.","NTachelhit","Nⴿⴿⵏⵉ ⵏⵖⵔⴰ ⴰⴷⵍⵉⵙ.","Nkkni nɣra adlis.","Nkkni nغra adlis."
"You studied the Amazigh lesson.","Kwnni tɣram tamsirt n tmaziɣt. ","Tachelhit","Kⵡⵏⵏⵉ ⵝⵖⵔⴰⵎ ⵝⴰⵎⵙⵉⵔⵝ ⵏ ⵝⵎⴰⵣⵉⵖⵝ. ","Kwnni tɣram tamsirt n tmaziɣt. ","Kwnni tغram tamsirt n tmaziغt. "
"She called her brother.","Nttat tɣra i gmas.","Tachelhit","Nⵝⵝⴰⵝ ⵝⵖⵔⴰ ⵉ ⴴⵎⴰⵙ.","Nttat tɣra i gmas.","Nttat tغra i gmas."
"I am at home.","Nkki lliɣ g tgmmi.","Tachelhit","Nⴿⴿⵉ ⵍⵍⵉⵖ ⴴ ⵝⴴⵎⵎⵉ.","Nkki lliɣ g tgmmi.","Nkki lliغ g tgmmi."
"He is on the mountain.","Ntta illa g udrar.","Tachelhit","Nⵝⵝⴰ ⵉⵍⵍⴰ ⴴ ⵓⴷⵔⴰⵔ.","Ntta illa g udrar.","Ntta illa g udrar."
"They are in another country.","Nttni llan g tmazirt yaḍn.","Tachelhit","Nⵝⵝⵏⵉ ⵍⵍⴰⵏ ⴴ ⵝⵎⴰⵣⵉⵔⵝ ⵢⴰⴺⵏ.","Nttni llan g tmazirt yaḍn.","Nttni llan g tmazirt yaḍn."
"Yo estaré allí en el futuro.","Nkki rad iliɣ ɣinn g imal.","Tachelhit","Nⴿⴿⵉ ⵔⴰⴷ ⵉⵍⵉⵖ ⵖⵉⵏⵏ ⴴ ⵉⵎⴰⵍ.","Nkki rad iliɣ ɣinn g imal.","Nkki rad iliغ غinn g imal."
"You will be at the wedding tomorrow.","Kyyi rad tilit g tmɣra azkka.","Tachelhit","Kⵢⵢⵉ ⵔⴰⴷ ⵝⵉⵍⵉⵝ ⴴ ⵝⵎⵖⵔⴰ ⴰⵣⴿⴿⴰ.","Kyyi rad tilit g tmɣra azkka.","Kyyi rad tilit g tmغra azkka."
"He said","Ntta inna.","Tachelhit","Nⵝⵝⴰ ⵉⵏⵏⴰ.","Ntta inna.","Ntta inna."
"He is saying.","Ntta ar ittini.","Tachelhit","Nⵝⵝⴰ ⴰⵔ ⵉⵝⵝⵉⵏⵉ.","Ntta ar ittini.","Ntta ar ittini."
"They are saying.","Nttni ar ttinin.","Tachelhit","Nⵝⵝⵏⵉ ⴰⵔ ⵝⵝⵉⵏⵉⵏ.","Nttni ar ttinin.","Nttni ar ttinin."
"He will say.","Ntta rad yini.","Tachelhit","Nⵝⵝⴰ ⵔⴰⴷ ⵢⵉⵏⵉ.","Ntta rad yini.","Ntta rad yini."
"Red pepper.","Ififel azggʷaɣ.","Tachelhit","Iⴼⵉⴼⴻⵍ ⴰⵣⴴⴴʷⴰⵖ.","Ififel azggʷaɣ.","Ififel azggʷaغ."
"White houses.","Tigʷmma tumlilin.","Tachelhit","Tⵉⴴʷⵎⵎⴰ ⵝⵓⵎⵍⵉⵍⵉⵏ.","Tigʷmma tumlilin.","Tigʷmma tumlilin."
"White snow.","Adfel umlil.","Tachelhit","Aⴷⴼⴻⵍ ⵓⵎⵍⵉⵍ.","Adfel umlil.","Adfel umlil."
"Purple flags.","Icnyalen imekẓayn.","Tachelhit","Icⵏⵢⴰⵍⴻⵏ ⵉⵎⴻⴿⵥⴰⵢⵏ.","Icnyalen imekẓayn.","Icnyalen imekẓayn."
"Green tomato.","Tmitac tazegzawt.","Tachelhit","Tⵎⵉⵝⴰc ⵝⴰⵣⴻⴴⵣⴰⵡⵝ.","Tmitac tazegzawt.","Tmitac tazegzawt."
"Yellow flower.","Tajddigt tawraɣt.","Tachelhit","Tⴰⵊⴷⴷⵉⴴⵝ ⵝⴰⵡⵔⴰⵖⵝ.","Tajddigt tawraɣt.","Tajddigt tawraغt."
"Two men.","Sin irgazen.","Tachelhit","Sⵉⵏ ⵉⵔⴴⴰⵣⴻⵏ.","Sin irgazen.","Sin irgazen."
"Two women.","Snat tmɣarin.","Tachelhit","Sⵏⴰⵝ ⵝⵎⵖⴰⵔⵉⵏ.","Snat tmɣarin.","Snat tmغarin."
"When were you born?","Managu telult? ","Tachelhit","Mⴰⵏⴰⴴⵓ ⵝⴻⵍⵓⵍⵝ? ","Managu telult? ","Managu telult? "
"How much does it cost?","Menckk ad tskar? ","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵝⵙⴿⴰⵔ? ","Menckk ad tskar? ","Menckk ad tskar? "
"How much is the price?","Menckk ad iga watig?","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵉⴴⴰ ⵡⴰⵝⵉⴴ?","Menckk ad iga watig?","Menckk ad iga watig?"
"How much is honey worth?","Menckk ad tskar tamment?","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵝⵙⴿⴰⵔ ⵝⴰⵎⵎⴻⵏⵝ?","Menckk ad tskar tamment?","Menckk ad tskar tamment?"
"How much is the tea?","Menckk ad iskar watay?","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵉⵙⴿⴰⵔ ⵡⴰⵝⴰⵢ?","Menckk ad iskar watay?","Menckk ad iskar watay?"
"How much do eggs cost?","Menckk ad skarnt tglay?","Tachelhit","Mⴻⵏcⴿⴿ ⴰⴷ ⵙⴿⴰⵔⵏⵝ ⵝⴴⵍⴰⵢ?","Menckk ad skarnt tglay?","Menckk ad skarnt tglay?"
"How is the weather?","Manik iga unzwi?"," Tachelhit","Mⴰⵏⵉⴿ ⵉⴴⴰ ⵓⵏⵣⵡⵉ?","Manik iga unzwi?","Manik iga unzwi?"
"How is the weather today in Agadir?","Manik iga unzwi assad ɣ Ugadir?"," Tachelhit","Mⴰⵏⵉⴿ ⵉⴴⴰ ⵓⵏⵣⵡⵉ ⴰⵙⵙⴰⴷ ⵖ Uⴴⴰⴷⵉⵔ?","Manik iga unzwi assad ɣ Ugadir?","Manik iga unzwi assad غ Ugadir?"
"The weather is nice.","Ifulki unzwi.","Tachelhit","Iⴼⵓⵍⴿⵉ ⵓⵏⵣⵡⵉ.","Ifulki unzwi.","Ifulki unzwi."
"The weather is bad.","Ixucen unzwi.","Tachelhit","Ixⵓcⴻⵏ ⵓⵏⵣⵡⵉ.","Ixucen unzwi.","Ixucen unzwi."
"Is it sunny?","Is tlla tafukt?","Tachelhit","Iⵙ ⵝⵍⵍⴰ ⵝⴰⴼⵓⴿⵝ?","Is tlla tafukt?","Is tlla tafukt?"
"Yes! It's sunny.","Yah! Tlla tafukt.","Tachelhit","Yⴰⵁ! Tⵍⵍⴰ ⵝⴰⴼⵓⴿⵝ.","Yah! Tlla tafukt.","Yah! Tlla tafukt."
"No, it's not sunny.","Uhu, ur tlli tafukt.","Tachelhit","Uⵁⵓ, ⵓⵔ ⵝⵍⵍⵉ ⵝⴰⴼⵓⴿⵝ.","Uhu, ur tlli tafukt.","Uhu, ur tlli tafukt."
"Is there rain?","Is illa unẓar?","Tachelhit","Iⵙ ⵉⵍⵍⴰ ⵓⵏⵥⴰⵔ?","Is illa unẓar?","Is illa unẓar?"
"Yes, it's raining.","Yah, illa unẓar.","Tachelhit","Yⴰⵁ, ⵉⵍⵍⴰ ⵓⵏⵥⴰⵔ.","Yah, illa unẓar.","Yah, illa unẓar."
"No, it's not raining.","Uhu, ur illi unẓar.","Tachelhit","Uⵁⵓ, ⵓⵔ ⵉⵍⵍⵉ ⵓⵏⵥⴰⵔ.","Uhu, ur illi unẓar.","Uhu, ur illi unẓar."
"It is snowing.","Illa udfel.","Tachelhit","Iⵍⵍⴰ ⵓⴷⴼⴻⵍ.","Illa udfel.","Illa udfel."
"It's windy.","Illa waḍu.","Tachelhit","Iⵍⵍⴰ ⵡⴰⴺⵓ.","Illa waḍu.","Illa waḍu."
"It's very windy.","Iggut waḍu.","Tachelhit","Iⴴⴴⵓⵝ ⵡⴰⴺⵓ.","Iggut waḍu.","Iggut waḍu."
"There are clouds.","Llan imdla.","Tachelhit","Lⵍⴰⵏ ⵉⵎⴷⵍⴰ.","Llan imdla.","Llan imdla."
"It's cloudy.","Igan imdla.","Tachelhit","Iⴴⴰⵏ ⵉⵎⴷⵍⴰ.","Igan imdla.","Igan imdla."
"It's cold.","Illa usmmiḍ.","Tachelhit","Iⵍⵍⴰ ⵓⵙⵎⵎⵉⴺ.","Illa usmmiḍ.","Illa usmmiḍ."
"It's getting cool.","Illa uzuzwu.","Tachelhit","Iⵍⵍⴰ ⵓⵣⵓⵣⵡⵓ.","Illa uzuzwu.","Illa uzuzwu."
"It's getting cool.","Izuzwa.","Tachelhit","Iⵣⵓⵣⵡⴰ.","Izuzwa.","Izuzwa."
"There is a sirocco.","Llan ijawan.","Tachelhit","Lⵍⴰⵏ ⵉⵊⴰⵡⴰⵏ.","Llan ijawan.","Llan ijawan."
"There is fog.","Tlla tagut.","Tachelhit","Tⵍⵍⴰ ⵝⴰⴴⵓⵝ.","Tlla tagut.","Tlla tagut."
"There is fog.","Tlla tagut.","Tachelhit","Tⵍⵍⴰ ⵝⴰⴴⵓⵝ.","Tlla tagut.","Tlla tagut."
"There is a full moon.","Tlla tmayyurt.","Tachelhit","Tⵍⵍⴰ ⵝⵎⴰⵢⵢⵓⵔⵝ.","Tlla tmayyurt.","Tlla tmayyurt."
"It's hot.","Tlla tirɣi.","Tachelhit","Tⵍⵍⴰ ⵝⵉⵔⵖⵉ.","Tlla tirɣi.","Tlla tirغi."
"It's hot.","Irɣa.","Tachelhit","Iⵔⵖⴰ.","Irɣa.","Irغa."
"Winter.","Tagrest.","Tachelhit","Tⴰⴴⵔⴻⵙⵝ.","Tagrest.","Tagrest."
"Spring.","Tafsut.","Tachelhit","Tⴰⴼⵙⵓⵝ.","Tafsut.","Tafsut."
"Summer.","Anbdu.","Tachelhit","Aⵏⴲⴷⵓ.","Anbdu.","Anbdu."
"Autumn.","Amwan.","Tachelhit","Aⵎⵡⴰⵏ.","Amwan.","Amwan."
"Summer.","Awilan.","Tachelhit","Aⵡⵉⵍⴰⵏ.","Awilan.","Awilan."
"The sky is cloudy in the plain.","Ignna igan imdla ɣ uzaɣar.","Tachelhit","Iⴴⵏⵏⴰ ⵉⴴⴰⵏ ⵉⵎⴷⵍⴰ ⵖ ⵓⵣⴰⵖⴰⵔ.","Ignna igan imdla ɣ uzaɣar.","Ignna igan imdla غ uzaغar."
"There is sun in the mountains.","Tlla tafukt ɣ yidraren.","Tachelhit","Tⵍⵍⴰ ⵝⴰⴼⵓⴿⵝ ⵖ ⵢⵉⴷⵔⴰⵔⴻⵏ.","Tlla tafukt ɣ yidraren.","Tlla tafukt غ yidraren."
"There is fog in the area of ​​Sidi Ifni.","Tlla tagut ɣ tsga n Sidi Ifni.","Tachelhit","Tⵍⵍⴰ ⵝⴰⴴⵓⵝ ⵖ ⵝⵙⴴⴰ ⵏ Sⵉⴷⵉ Iⴼⵏⵉ.","Tlla tagut ɣ tsga n Sidi Ifni.","Tlla tagut غ tsga n Sidi Ifni."
"It's cool on the coast but hot in the mountains.","Izuzwa ɣ uftas macc irɣa ɣ udrar.","Tachelhit","Iⵣⵓⵣⵡⴰ ⵖ ⵓⴼⵝⴰⵙ ⵎⴰcc ⵉⵔⵖⴰ ⵖ ⵓⴷⵔⴰⵔ.","Izuzwa ɣ uftas macc irɣa ɣ udrar.","Izuzwa غ uftas macc irغa غ udrar."
"It's cold in winter but hot in summer.","Illa usmmiḍ ɣ tgrest macc tirɣi ɣ unbdu.","Tachelhit","Iⵍⵍⴰ ⵓⵙⵎⵎⵉⴺ ⵖ ⵝⴴⵔⴻⵙⵝ ⵎⴰcc ⵝⵉⵔⵖⵉ ⵖ ⵓⵏⴲⴷⵓ.","Illa usmmiḍ ɣ tgrest macc tirɣi ɣ unbdu.","Illa usmmiḍ غ tgrest macc tirغi غ unbdu."
