English,Tamazight,Tamazight_Latin,Tamazight_Arabic
"Foreign letters. Letters must be valid in the language being spoken. For example, “ж” is a letter in the Russian alphabet but is never used in English and so should never appear in any English source text.","ⵉⵙⴽⴽⵉⵍⵏ ⵉⴱⵕⵕⴰⵏⵉⵢⵏ. ⵉⵇⵇⴰⵏ ⴷ ⵉⵙⴽⴽⵉⵍⵏ ⴰⴷ ⵣⵔⵢⵏ ⴳ ⵜⵓⵜⵍⴰⵢⵜ ⵏ ⵡⴰⵡⴰⵍ. ⵙ ⵓⵎⴷⵢⴰ, “ⵘ” ⵉⴳⴰ ⴰⵙⴽⴽⵉⵍ ⵏ ⵜⴼⵉⵏⴰⵖ ⵎⴰⵛⴰ ⵓⵔ ⵍⴰ ⵜ ⵙⴰⵔ ⵏⵙⵙⵎⵔⴰⵙ ⴳ ⵜⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ ⵓⴽⴰⵏ ⵓⵔ ⵉⵅⵚⵚⴰ ⴰⴷ ⵙⴰⵔ ⵢⵓⵎⴰⵏ ⴳ ⵓⵍⴰ ⴽⵔⴰ ⵏ ⵓⴹⵕⵉⵚ ⴰⵙⴰⴳⵎ ⵏ ⵜⵎⴰⵣⵉⵖⵜ.","iskkiln ibṛṛaniyn. iqqan d iskkiln ad zryn g tutlayt n wawal. s umdya, “ⵘ” iga askkil n tfinagh masha ur la t sar nssmras g tmazight tanawayt ukan ur ikhṣṣa ad sar yuman g ula kra n uḍṛiṣ asagm n tmazight.","يسككيلن يبررانيين. يققان د يسككيلن اد زرين ڭ توتلايت ن واوال. س ومديا, “ⵘ” يڭا اسككيل ن تفيناغ ماشا ور لا ت سار نسسمراس ڭ تمازيغت تاناوايت وكان ور يخصصا اد سار يومان ڭ ولا كرا ن وضريص اساڭم ن تمازيغت."
Tagalog,ⵜⴰⵜⴰⴳⴰⵍⵓⴳⵉⵜ,tatagalugit,تاتاڭالوڭيت
Partner with local organizations or individuals,ⵎⵛⴰⵔⴰⴽ ⴰⴽⴷ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⵏⵉⵖ ⵎⴷⴷⵏ ⵉⴷⵖⵔⴰⵏⵏ,msharak akd tmaddasin nigh mddn idghrann,مشاراك اكد تمادداسين نيغ مددن يدغرانن
"Voice Dataset, Ready for Download","ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ, ⵜⵎⵓⵜⵜⴳ ⵉ ⵡⴰⴳⴰⵎ","tagrumma n isfka igṛḍann, tmuttg i wagam","تاڭرومما ن يسفكا يڭرضانن, تموتتڭ ي واڭام"
"If it’s your own words, just say <italicizedText>“Self Citation”</italicizedText>. We need to know where you found this content so that we can check it is in the public domain and no copyright restrictions apply. For more information about citation see our <guidelinesLink>Guidelines page</guidelinesLink>.","ⵎⴽ ⴳⴰⵏⵜ ⵜⴳⵓⵔⵉⵡⵉⵏ ⵜⵉⵏⵏⵓⵏ, ⵉⵏⵢⴰⵜ ⴽⴰ <italicizedText>“ⵜⴰⴱⴷⴰⵔⵎⴰⵏⵜ”</italicizedText>. ⵏⵓⵙⵔ ⴰⴷ ⵏⵙⵙⵏ ⵎⴰⵏⵉ ⴳ ⵜⵓⴼⴰⵎ ⵜⵓⵎⴰⵢⵜ ⴰⴷ ⵃⵎⴰ ⴰⴷ ⵏⵣⵎⵔ ⴰⴷ ⵏⵛⴰⴱⴱⴰ ⵉⵙ ⵜⵍⵍⴰ ⴳ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ ⴷ ⵡⴰⵍⵓ ⴰⵙⵏⴰⵙ ⵏ ⵉⵙⴽⵔⴰⴼ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⵎⴳⴰⵢ. ⵥⵕ <guidelinesLink>ⵜⴰⵙⵏⴰ ⵏ ⵜⴰⵔⴰⵜⵉⵏ</guidelinesLink> ⵏⵏⵖ ⵉ ⵡⵓⴳⴳⴰⵔ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⵅⴼ ⵜⴱⴷⴰⵔⵜ.","mk gant tguriwin tinnun, inyat ka <italicizedText>“tabdarmant”</italicizedText>. nusr ad nssn mani g tufam tumayt ad ḥma ad nzmr ad nshabba is tlla g wagla agdudan d walu asnas n iskraf n izrfan n umgay. ẓṛ <guidelinesLink>tasna n taratin</guidelinesLink> nngh i wuggar n inghmisn khf tbdart.","مك ڭانت تڭوريوين تيننون, ينيات كا <italicizedText>“تابدارمانت”</italicizedText>. نوسر اد نسسن ماني ڭ توفام تومايت اد حما اد نزمر اد نشاببا يس تللا ڭ واڭلا اڭدودان د والو اسناس ن يسكراف ن يزرفان ن ومڭاي. زّر <guidelinesLink>تاسنا ن تاراتين</guidelinesLink> ننغ ي ووڭڭار ن ينغميسن خف تبدارت."
We’ve made some changes. Delta Segments just contain the most recent clips since the last release. <deltaLink>Read more about this work</deltaLink>.,ⵏⵙⴽⵔ ⴽⵔⴰ ⵏ ⵉⵙⵏⴼⴰⵍ. ⵓⵎⴰⵏⵜ ⵜⵓⵟⵟⵓⵜⵉⵏ ⵏ ⴷⵉⵍⵜⴰ ⵖⴰⵙ ⵜⵓⵙⵙⵉⴼⵉⵏ ⴷ ⵉⴳⴳⵯⵔⴰⵏ ⵙⴳ ⵜⵓⴼⴼⵖⴰ ⵜⴰⵎⴳⴳⵔⵓⵜ. <deltaLink>ⵖⵔ ⵓⴳⴳⴰⵔ ⵅⴼ ⵜⵡⵓⵔⵉ ⴰ</deltaLink>.,nskr kra n isnfal. umant tuṭṭutin n dilta ghas tussifin d iggⵯran sg tuffgha tamggrut. <deltaLink>ghr uggar khf twuri a</deltaLink>.,نسكر كرا ن يسنفال. ومانت توططوتين ن ديلتا غاس توسسيفين د يڭڭⵯران سڭ توففغا تامڭڭروت. <deltaLink>غر وڭڭار خف تووري ا</deltaLink>.
Help Common Voice reach { $hours } hours in a language with a personal goal,ⴰⵡⵙ ⵉ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴰⴷ ⵢⴰⵡⴹ { $hours } ⵜⵙⵔⴰⴳⵉⵏ ⵙ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵙ ⴽⵔⴰ ⵏ ⵓⵡⵜⵜⴰⵙ ⴰⵏⵉⵎⴰⵏ,aws i kamnfuys ad yawḍ { $hours } tsragin s kra n tutlayt s kra n uwttas animan,اوس ي كامنفويس اد ياوض { $hours } تسراڭين س كرا ن توتلايت س كرا ن ووتتاس انيمان
Finish Review,ⵙⵎⴷ ⴰⵙⵙⵉⵔⵎ,smd assirm,سمد اسسيرم
Source of your sentence,ⴰⵙⴰⴳⵎ ⵏ ⵜⵡⵉⵏⵙⵜ ⵏⵏⵓⵏ,asagm n twinst nnun,اساڭم ن توينست ننون
"When a user rejects a voice clip it returns to the Queue. If rejected a second time, the voice clip is moved to the Clip Graveyard.","ⵎⴽ ⵢⵓⴳⵉ ⵢⴰⵏ ⵓⵏⵙⵙⵎⵔⵙ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵍⴰ ⵜⴻⵜⵜⴰⵖⵓⵍ ⵖⵔ ⵓⴷⵔⴰⵙ. ⵎⴽ ⵜⴻⵜⵜⵢⴰⴳⴰⵢ ⵜⵉⵙ ⵙⵏⴰⵜ ⵜⵡⴰⵍ, ⵍⴰ ⵜⴻⵜⵜⵎⵓⵜⵜⵓⵢ ⵖⵔ ⵓⵙⵎⴹⵍ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ.","mk yugi yan unssmrs kra n tussift tagṛḍant la tettaghul ghr udras. mk tettyagay tis snat twal, la tettmuttuy ghr usmḍl n tussifin.","مك يوڭي يان ونسسمرس كرا ن توسسيفت تاڭرضانت لا ت°تتاغول غر ودراس. مك ت°تتياڭاي تيس سنات توال, لا ت°تتموتتوي غر وسمضل ن توسسيفين."
Something went wrong with reCAPTCHA. Please try again.,"ⵜⵣⴳⵍ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ ⴰⴽⴷ reCAPTCHA. ⵎⴽ ⵜⵓⴼⵉⴷ, ⴰⵔⵎ ⴷⴰⵖ.","tzgl kra n tghawsa akd reCAPTCHA. mk tufid, arm dagh.","تزڭل كرا ن تغاوسا اكد reCAPTCHA. مك توفيد, ارم داغ."
You’re contributing to our first target segment,ⵍⴰ ⵜⴻⵜⵜⴰⵔⴳⴷ ⴳ ⵜⵓⵟⵟⵓⵜ ⵏⵏⵖ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⵉⵜⵜⵡⴰⵜⵜⵙⵏ,la tettargd g tuṭṭut nngh tamzwarut ittwattsn,لا ت°تتارڭد ڭ توططوت ننغ تامزواروت يتتواتتسن
Report,ⵎⵍ,ml,مل
{ $minutes }m,{ $minutes }ⵙⴷ,{ $minutes }sd,{ $minutes }سد
Why is it important?,ⵎⴰⵅⴼ ⵉⴳⴰ ⴰⵅⴰⵜⴰⵔ?,makhf iga akhatar?,ماخف يڭا اخاتار?
Variants are a specific form of a language - for example shared by those living in a geography or commmunity. Sometimes these are called dialects.,ⴳⴰⵏⵜ ⵜⵎⵣⴰⵔⴰⵢⵉⵏ ⵢⴰⵜ ⵜⴰⵍⵖⴰ ⵉⵥⵍⵢⵏ ⵏ ⵢⴰⵜ ⵜⵓⵜⵍⴰⵢⵜ - ⵉⵜⵜⵓⴱⴹⴰⵏ ⵙ ⵓⵎⴷⵢⴰ ⴳⵔ ⵎⴷⴷⵏ ⴷⴷⵔⵏⵉⵏ ⴳ ⵢⴰⵜ ⵜⴰⵔⴰⴽⴰⵍⵜ ⵏⵉⵖ ⵜⴰⴳⵔⴰⵡⵜ. ⵍⴰ ⴰⵙⵏⵜ ⵜⵜⵉⵏⵉⵏ ⴽⵔⴰ ⵏ ⵜⵉⴽⴽⴰⵍ ⵜⵉⵏⵜⴰⵍⵉⵡⵉⵏ.,gant tmzarayin yat talgha iẓlyn n yat tutlayt - ittubḍan s umdya gr mddn ddrnin g yat tarakalt nigh tagrawt. la asnt ttinin kra n tikkal tintaliwin.,ڭانت تمزارايين يات تالغا يزّلين ن يات توتلايت - يتتوبضان س ومديا ڭر مددن ددرنين ڭ يات تاراكالت نيغ تاڭراوت. لا اسنت تتينين كرا ن تيككال تينتاليوين.
Interlingua,ⵜⴰⴳⵔⵓⵜⵍⴰⵢⵜ,tagrutlayt,تاڭروتلايت
enable,ⵣⵣⵎⵔ,zzmr,ززمر
Importing…,ⴰⵙⴽⵛⵎ...,askshm...,اسكشم...
Download Links,ⵉⵙⵖⵡⴰⵏ ⵏ ⵡⴰⴳⴰⵎ,isghwan n wagam,يسغوان ن واڭام
"You can <sentenceCollectorLinkAdd>add small numbers of sentences</sentenceCollectorLinkAdd>, or you can do <bulkImportDocsLink>bulk imports using Github</bulkImportDocsLink>. Remember that sentences need to be <licenseLink>CC0 (or public domain)</licenseLink>, or you can write your own.","ⵜⵣⵎⵔⵎ <sentenceCollectorLinkAdd>ⴰⴷ ⵜⵔⵏⵓⵎ ⵢⴰⵏ ⵡⵓⵟⵟⵓⵏ ⵎⵥⵥⵉⵢⵏ ⵏ ⵜⵡⵉⵏⴰⵙ</sentenceCollectorLinkAdd>, ⵏⵉⵖ ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⵙⴽⵔⵎ <bulkImportDocsLink>ⵉⵙⴽⵛⴰⵎ ⴳⴳⵓⵜⵏⵉⵏ ⵙ ⵓⵙⵙⵎⵔⵙ ⵏ ⴳⵉⵜⵀⴰⴱ</bulkImportDocsLink>. ⴽⵜⵢⴰⵜ ⵎⴰⵙ ⴷ ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⴳⵉⵏⵜ ⵜⵡⵉⵏⴰⵙ <licenseLink>CC0 (ⵏⵉⵖ ⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ)</licenseLink>, ⵏⵉⵖ ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⴰⵔⴰⵎ ⵜⵉⵏⵏⵓⵏ.","tzmrm <sentenceCollectorLinkAdd>ad trnum yan wuṭṭun mẓẓiyn n twinas</sentenceCollectorLinkAdd>, nigh tzmrm ad tskrm <bulkImportDocsLink>isksham ggutnin s ussmrs n githab</bulkImportDocsLink>. ktyat mas d iqqan d ad gint twinas <licenseLink>CC0 (nigh agla agdudan)</licenseLink>, nigh tzmrm ad taram tinnun.","تزمرم <sentenceCollectorLinkAdd>اد ترنوم يان ووططون مزّزّيين ن تويناس</sentenceCollectorLinkAdd>, نيغ تزمرم اد تسكرم <bulkImportDocsLink>يسكشام ڭڭوتنين س وسسمرس ن ڭيتهاب</bulkImportDocsLink>. كتيات ماس د يققان د اد ڭينت تويناس <licenseLink>CC0 (نيغ اڭلا اڭدودان)</licenseLink>, نيغ تزمرم اد تارام تيننون."
GB,ⵊⵜ,jt,جت
Speaking,ⴰⵙⵉⵡⵍ,asiwl,اسيول
Total,ⵜⴰⵎⵓⵜⵜⵔⵜ,tamuttrt,تاموتترت
Something went wrong!,ⵜⵙⴰⵔ ⴽⵔⴰ ⵏ ⵜⵣⴳⴰⵍⵜ!,tsar kra n tzgalt!,تسار كرا ن تزڭالت!
This browser might not be able to decrypt a file this big.,ⵉⵣⵎⵔ ⵓⵎⵙⵙⴰⵔⴰ ⴰ ⴰⴷ ⵓⵔ ⵉⵖⴰⵢ ⴰⴷ ⵉⴽⴽⵙ ⴰⵙⵙⵏⵜⵍ ⵉ ⵢⴰⵏ ⵓⴼⴰⵢⵍⵓ ⵉⵎⵇⵇⵓⵔⵏ ⵙ ⵡⴰⵏⵛⵜ ⴰ.,izmr umssara a ad ur ighay ad ikks assntl i yan ufaylu imqqurn s wansht a.,يزمر ومسسارا ا اد ور يغاي اد يككس اسسنتل ي يان وفايلو يمققورن س وانشت ا.
Mozilla Common Voice is an initiative to help teach machines how real people speak.,ⵉⴳⴰ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵏ ⵎⵓⵣⵉⵍⴰ ⵢⴰⵜ ⵜⵙⵏⵜⴰⵢⵜ ⵉ ⵜⵡⵉⵙⵉ ⴳ ⵓⵙⵙⵍⵎⴷ ⵉ ⵜⵎⴰⵛⵉⵏⵉⵏ ⵎⴰⵏⵎⴽ ⵙⴰⵡⴰⵍⵏ ⵎⴷⴷⵏ ⵏ ⵜⵉⴷⵜ.,iga kamnfuys n muzila yat tsntayt i twisi g usslmd i tmashinin manmk sawaln mddn n tidt.,يڭا كامنفويس ن موزيلا يات تسنتايت ي تويسي ڭ وسسلمد ي تماشينين مانمك ساوالن مددن ن تيدت.
You've helped Common Voice reach <goalPercentage></goalPercentage> of our daily { $goalValue } validation goal!,ⵜⵓⵡⵙⴷ ⵉ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴰⴷ ⵢⴰⵡⴹ <goalPercentage></goalPercentage> ⵙⴳ ⵓⵡⵜⵜⴰⵙ ⵏⵏⵖ ⴰⴽⵓⵢⴰⵙⵙ ⵏ { $goalValue } ⵉⵣⵣⵔⴰⵢⵏ!,tuwsd i kamnfuys ad yawḍ <goalPercentage></goalPercentage> sg uwttas nngh akuyass n { $goalValue } izzrayn!,تووسد ي كامنفويس اد ياوض <goalPercentage></goalPercentage> سڭ ووتتاس ننغ اكوياسس ن { $goalValue } يززراين!
Submit a report,ⴰⵣⵏ ⵜⴰⵎⵓⵍⵉ,azn tamuli,ازن تامولي
"You're currently set to receive emails such as goal reminders, my progress updates and newsletters about Common Voice","ⵜⵙⵙⵏⵜⵉⴷ ⵙ ⵓⵎⵉⵔⴰⵏ ⴰⴷ ⵜⴰⵎⵥⴷ ⵉⵎⴰⵢⵍⵏ ⴰⵎ ⵓⵙⴽⵜⵉ ⵙ ⵉⵡⵜⵜⴰⵙⵏ, ⵉⵙⴷⵖⵉⵜⵏ ⵏ ⵡⴰⵍⴰⵢ ⵉⵏⵓ ⴷ ⵜⴱⵔⴰⵜⵉⵏ ⵏ ⵉⵏⵖⵎⵉⵙⵏ ⵅⴼ ⴽⴰⵎⵏⴼⵓⵢⵙ","tssntid s umiran ad tamẓd imayln am uskti s iwttasn, isdghitn n walay inu d tbratin n inghmisn khf kamnfuys","تسسنتيد س وميران اد تامزّد يمايلن ام وسكتي س يوتتاسن, يسدغيتن ن والاي ينو د تبراتين ن ينغميسن خف كامنفويس"
Help us by writing or collecting Public Domain sentences.,ⴰⵡⵙ ⴰⵏⵖ ⵙ ⵜⵉⵔⵔⴰ ⵏⵉⵖ ⴰⴳⵔⵔⵓ ⵏ ⵜⵡⵉⵏⴰⵙ ⵏ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ.,aws angh s tirra nigh agrru n twinas n wagla agdudan.,اوس انغ س تيررا نيغ اڭررو ن تويناس ن واڭلا اڭدودان.
clipboard,ⵎⴰⴷⴷⵉⴼⵔ,maddifr,مادديفر
"Common Voice is the world’s largest publicly available, multi-language voice dataset.",ⵉⴳⴰ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵜⴰⴳⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵎⵇⵇⵔⴰⵏⵜ ⵉⵙⴰⴳⴰⵏ ⵙ ⵓⴳⴷⵓⴷⴰⵏ ⴳ ⵓⵎⴰⴹⴰⵍ.,iga kamnfuys tagrumma n isfka tagṛḍant tagtutlayt tamqqrant isagan s ugdudan g umaḍal.,يڭا كامنفويس تاڭرومما ن يسفكا تاڭرضانت تاڭتوتلايت تامققرانت يساڭان س وڭدودان ڭ وماضال.
Request recordings,ⵜⵜⵔ ⵉⵙⵓⵙⴰⵔ,ttr isusar,تتر يسوسار
Sign in,ⴽⵛⵎ,kshm,كشم
Have you read our Terms?,ⵉⵙ ⵜⵖⵔⵉⴷ ⵜⵉⴼⴰⴷⵉⵡⵉⵏ ⵏⵏⵖ?,is tghrid tifadiwin nngh?,يس تغريد تيفاديوين ننغ?
Kyrgyz,ⵜⴰⴽⵉⵔⴳⵉⵣⵉⵜ,takirgizit,تاكيرڭيزيت
<bold>Help us</bold> find more voices,<bold>ⴰⵡⵙ ⴰⵏⵖ</bold> ⴰⴷ ⵏⴰⴼ ⵓⴳⴳⴰⵔ ⵏ ⵉⴳⵕⴹⴰⵏ,<bold>aws angh</bold> ad naf uggar n igṛḍan,<bold>اوس انغ</bold> اد ناف وڭڭار ن يڭرضان
Yiddish,ⵜⴰⵢⴷⴷⵉⵛⵜ,tayddisht,تايدديشت
Upload more sentences?,ⵙⴽⵜⵔ ⵓⴳⴳⴰⵔ ⵏ ⵜⵡⵉⵏⴰⵙ?,sktr uggar n twinas?,سكتر وڭڭار ن تويناس?
Large scale corporates and platform companies,ⵜⵉⵎⵙⵙⵓⵔⵉⵏ ⵜⵉⵎⵇⵇⵔⴰⵏⵉⵏ ⴷ ⵜⵎⵙⵙⵓⵔⵉⵏ ⵏ ⵜⵙⵉⵍⴰⵡⵉⵏ,timssurin timqqranin d tmssurin n tsilawin,تيمسسورين تيمققرانين د تمسسورين ن تسيلاوين
Expires after { $downloadCount } or { $timespan },ⴰⴷ ⵉⵎⵎⵜ ⴷⴼⴼⵉⵔ { $downloadCount } ⵏⵉⵖ ⴷ { $timespan },ad immt dffir { $downloadCount } nigh d { $timespan },اد يممت دففير { $downloadCount } نيغ د { $timespan }
Ask about a new language,ⵜⵜⵔ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ,ttr kra n tutlayt tamaynut,تتر كرا ن توتلايت تاماينوت
Finish validating clips?,ⵙⵎⴷ ⴰⵣⵣⵔⴰⵢ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ?,smd azzray n tussifin?,سمد اززراي ن توسسيفين?
Hours Validated,ⵜⵉⵙⵔⴰⴳⵉⵏ ⵣⵔⵢⵏⵉⵏ,tisragin zrynin,تيسراڭين زرينين
<accuracyLink>See more on accuracy criteria.</accuracyLink>,<accuracyLink>ⵥⵕ ⵓⴳⴳⴰⵔ ⵅⴼ ⵉⵙⴱⴷⴰⴷⵏ ⵏ ⵓⵏⵖⴰⴷ.</accuracyLink>,<accuracyLink>ẓṛ uggar khf isbdadn n unghad.</accuracyLink>,<accuracyLink>زّر وڭڭار خف يسبدادن ن ونغاد.</accuracyLink>
Native Language,ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵢⵎⵎⴰⵜ,tutlayt taymmat,توتلايت تايممات
search suggestion,ⵜⴰⵙⵓⵎⵔⵜ ⵏ ⵓⵔⵣⵣⵓ,tasumrt n urzzu,تاسومرت ن ورززو
Drop file here to upload,ⵙⵔⵙ ⴰⴼⴰⵢⵍⵓ ⴷⴰ ⵃⵎⴰ ⴰⴷ ⵜ ⵜⵙⴽⵜⵔⴷ,srs afaylu da ḥma ad t tsktrd,سرس افايلو دا حما اد ت تسكترد
Central Kurdish,ⵜⴰⴽⵓⵔⴷⵉⵜ ⵜⴰⵏⴰⵎⵎⴰⵙⵜ,takurdit tanammast,تاكورديت تانامماست
Add new sentences,ⵔⵏⵓ ⵜⵉⵡⵉⵏⴰⵙ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ,rnu tiwinas timaynutin,رنو تيويناس تيماينوتين
{ $unreviewedSentencesByYou } sentences left for you to review.,{ $unreviewedSentencesByYou } ⵜⵡⵉⵏⴰⵙ ⴰⴷ ⴰⵡⵏ ⵉⵖⴰⵎⴰⵏ ⴰⴷ ⵜⵏⵜ ⵜⵙⵙⵉⵔⵎⵎ.,{ $unreviewedSentencesByYou } twinas ad awn ighaman ad tnt tssirmm.,{ $unreviewedSentencesByYou } تويناس اد اون يغامان اد تنت تسسيرمم.
This is our process for translating and adapting our content for many locales (languages).,ⵜⴰ ⴰⵢⴷ ⵉⴳⴰⵏ ⵜⴰⵣⵉⴳⵣⵜ ⵏⵏⵖ ⵉ ⵓⵙⵓⵖⵍ ⴷ ⵜⴽⵙⵙⵓⵢⵜ ⵏ ⵜⵓⵎⴰⵢⵜ ⵏⵏⵖ ⵉ ⵜⵓⴳⵜⵜ ⵏ ⵜⴷⵖⵔⴰⵏⵉⵏ (ⵜⵓⵜⵍⴰⵢⵉⵏ).,ta ayd igan tazigzt nngh i usughl d tkssuyt n tumayt nngh i tugtt n tdghranin (tutlayin).,تا ايد يڭان تازيڭزت ننغ ي وسوغل د تكسسويت ن تومايت ننغ ي توڭتت ن تدغرانين (توتلايين).
The giant dino [cough] the Triassic.,ⵉⵣⵎⴰ [ⵜⵓⵙⵓⵜ] ⵏ ⵡⴰⵟⵍⴰⵚ.,izma [tusut] n waṭlaṣ.,يزما [توسوت] ن واطلاص.
Recorded Clips,ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵜⵓⵙⵓⵙⵔⵏⵉⵏ,tussifin ttususrnin,توسسيفين تتوسوسرنين
"There are lots of ways to think about language. For the purposes of speech recognition models, Common Voice suggests focussing on ‘mutual intelligibility’, or ‘can speakers of this language mostly understand one another if they try to?’","ⵍⵍⴰⵏⵜ ⴽⵉⴳⴰⵏ ⵏ ⵜⵖⴰⵔⴰⵙⵉⵏ ⵏⵏⴰ ⵙ ⵔⴰⴷ ⵏⵙⵡⵉⵏⴳⵎ ⴳ ⵜⵓⵜⵍⴰⵢⵜ. ⵉ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵜⵎⵓⴷⵎⵉⵡⵉⵏ ⵏ ⵜⵓⴽⵣⴰ ⵏ ⵡⴰⵡⴰⵍ, ⵍⴰ ⵉⵙⵙⵓⵎⵓⵔ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵜⴰⵡⵏⴰ ⵅⴼ ‘ⵜⴰⴼⴰⵡⵜ ⵉⵛⵛⴰⵔⵏ’, ⵏⵉⵖ ‘ⵉⵙ ⵣⵎⵔⵏ ⵉⵎⵙⵙⵉⵡⵍⵏ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⴰ ⴰⴷ ⵔⵎⵙⵏ ⵙ ⵓⴷⵙⵍⴰⵏ ⴳⵔⴰⵙⵏ ⵎⴽ ⵓⵔⵎⵏ ⴰⴷ ⵏⵏⵔⵎⵙⵏ?’","llant kigan n tgharasin nna s rad nswingm g tutlayt. i iwttasn n tmudmiwin n tukza n wawal, la issumur kamnfuys tawna khf ‘tafawt ishsharn’, nigh ‘is zmrn imssiwln s tutlayt a ad rmsn s udslan grasn mk urmn ad nnrmsn?’","للانت كيڭان ن تغاراسين ننا س راد نسوينڭم ڭ توتلايت. ي يوتتاسن ن تمودميوين ن توكزا ن واوال, لا يسسومور كامنفويس تاونا خف ‘تافاوت يششارن’, نيغ ‘يس زمرن يمسسيولن س توتلايت ا اد رمسن س ودسلان ڭراسن مك ورمن اد ننرمسن?’"
non-profit,ⵓⵔ ⵉⵙⵉⴳⴳⵉⵍⵏ ⵚⴰⵃⴰ,ur isiggiln ṣaḥa,ور يسيڭڭيلن صاحا
Learn More,ⵙⵙⵏ ⵓⴳⴳⴰⵔ,ssn uggar,سسن وڭڭار
Select a Language...,ⵙⵜⵢ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ...,sty kra n tutlayt...,ستي كرا ن توتلايت...
Accent,ⴰⵙⵓⵙⵔⵓ,asusru,اسوسرو
Record/Stop,ⵙⵓⵙⵔ/ⵙⴱⴷⴷ,susr/sbdd,سوسر/سبدد
Why Common Voice?,ⵎⴰⵅ ⴽⴰⵎⵏⴼⵓⵢⵙ?,makh kamnfuys?,ماخ كامنفويس?
